avg_pts_for,avg_pts_let,avg_rsh,avg_pss,pss_rate,3rd_dn_rate,4th_dn_rate,pss_td,rsh_td,1st_dns,sacks,trnovrs,pens,pen_yrds,home_win
-1.7777777777777786,5.8888888888888875,-0.23438212494300048,-0.8729182156133826,-0.014684014869888573,-0.05784288961859052,-0.75,-2.0,0.0,7.0,-13.0,4.0,5.0,-47.0,0.0
-4.777777777777779,12.444444444444445,-0.6730617088607596,-0.1527206698880521,0.013580839761097252,-0.11641509433962266,0.2857142857142857,-2.0,-5.0,-3.0,-17.0,1.0,11.0,79.0,0.0
-13.555555555555557,3.444444444444443,0.28421802145301633,-2.718091762252346,-0.09152763295099064,-0.2198801198801199,-0.20512820512820507,-11.0,-4.0,-64.0,-6.0,-1.0,6.0,-2.0,1.0
-9.555555555555554,-18.333333333333332,-0.6890464933018121,-1.0890937019969282,-0.028225806451612878,-0.015491413956887079,0.033333333333333326,-15.0,1.0,-33.0,22.0,4.0,-19.0,-121.0,1.0
-2.2222222222222214,-0.22222222222222143,-0.2701581907189383,-1.1610366168127904,0.006343476018566219,-0.026741920311765144,-0.3294117647058824,1.0,0.0,-10.0,2.0,-2.0,-13.0,-246.0,0.0
-6.666666666666666,7.666666666666668,1.0249342689488259,-1.2247516943601537,-0.1205368481559212,-0.055418719211822676,0.26153846153846155,-6.0,4.0,-51.0,-5.0,-14.0,-4.0,77.0,0.0
-5.111111111111111,10.777777777777777,-0.9483936766955638,-0.02565359934990319,-0.00336256900271803,-0.09051724137931033,-0.3939393939393939,-1.0,-5.0,-54.0,4.0,-7.0,13.0,164.0,0.0
4.666666666666666,3.777777777777777,-0.23204134366925055,1.4125560538116595,0.1255605381165919,0.10144927536231885,-0.39999999999999997,8.0,-4.0,-4.0,8.0,-3.0,17.0,157.0,1.0
-0.33333333333333215,-7.0,0.7219312945119389,-1.0611869747899156,-0.0028011204481792618,-0.00833333333333336,-0.0535714285714286,-1.0,0.0,9.0,18.0,6.0,19.0,119.0,1.0
-0.5555555555555571,-2.777777777777777,1.2595332051002401,-1.275293350717079,0.013233376792698759,-0.036276988912662955,0.8,-10.0,5.0,5.0,-12.0,-3.0,-2.0,49.0,1.0
-4.333333333333334,9.88888888888889,0.08874979939014604,-0.8930559492092289,-0.059089620769797624,-0.024494949494949514,-0.3095238095238095,0.0,-7.0,-31.0,-19.0,-10.0,-23.0,-250.0,1.0
-5.888888888888886,-1.6666666666666679,-0.8023963133640555,-1.6432442575361215,-0.06440610616245579,0.01902782219379595,0.3571428571428571,-2.0,-1.0,-45.0,-5.0,-2.0,-6.0,-55.0,0.0
1.1111111111111107,0.5555555555555571,1.7392473118279566,0.06208018012383487,0.04923384827068611,-0.006174957118353364,0.375,1.0,-1.0,29.0,-6.0,1.0,-4.0,-97.0,1.0
19.333333333333332,13.666666666666666,1.5355555555555558,3.3088435374149654,0.06632653061224492,0.11764705882352944,0.33333333333333337,14.0,10.0,56.0,12.0,-2.0,5.0,102.0,0.0
-3.2222222222222214,-1.2222222222222214,-1.112355356476297,-1.19408460392067,0.0018342313424281054,-0.09948453608247426,0.24444444444444446,-5.0,-1.0,-6.0,6.0,1.0,-5.0,-66.0,1.0
11.7,1.9000000000000021,-0.6165707329536056,2.1773335778470564,0.14114554679381386,0.09794972107512856,0.18333333333333335,10.0,2.0,39.0,-5.0,2.0,0.0,50.0,1.0
7.0,-4.200000000000003,1.093267651888342,1.7691482318562661,0.005410588315868825,0.05287300820859486,0.19841269841269843,7.0,2.0,26.0,6.0,-2.0,16.0,210.0,1.0
-0.7000000000000028,-9.0,0.6027318199307428,-0.6866151866151862,-0.03129021879021876,0.01727642276422764,0.06666666666666671,-2.0,4.0,-20.0,-7.0,6.0,9.0,16.0,1.0
-6.699999999999999,-5.399999999999999,-1.0063607638411871,0.19422941590429232,-0.09262256626788645,-0.05376838235294118,0.02857142857142858,-8.0,1.0,-32.0,-12.0,1.0,-29.0,-343.0,0.0
4.199999999999999,-4.0,-0.8443998420637007,1.1319222550117027,-0.003286862725145001,0.08081159420289857,0.33333333333333337,3.0,-1.0,35.0,0.0,6.0,1.0,95.0,1.0
0.0,1.1000000000000014,-0.5113865008231206,0.4464381520119227,-0.00798807749627417,-0.08915245202558636,0.09090909090909088,0.0,-6.0,-20.0,-18.0,-2.0,-10.0,-134.0,0.0
0.8000000000000007,-3.1999999999999993,-0.6262923679191625,0.7249352801076938,0.009164336750543622,0.0784313725490196,-0.25,1.0,0.0,6.0,0.0,5.0,-5.0,-40.0,0.0
-5.5,4.600000000000001,0.0013240250361099548,0.033064516129032384,0.0015704584040746594,-0.06049882035726323,-0.25,-4.0,-1.0,-42.0,8.0,-6.0,17.0,255.0,1.0
1.4000000000000021,2.0,-0.6259098213441727,1.6119494429190588,0.06191427080260503,0.0690671031096563,0.1333333333333333,0.0,3.0,-29.0,6.0,-7.0,8.0,134.0,0.0
1.0,10.799999999999997,1.5213012477718357,-0.9817925727438244,0.01023738362705695,0.06641604010025065,0.08333333333333337,3.0,0.0,26.0,-8.0,-9.0,19.0,232.0,1.0
-5.5,11.700000000000001,-1.231655282907496,-0.27561622637338345,0.008068973140267555,0.009666666666666657,-0.875,-1.0,-4.0,14.0,-10.0,-15.0,5.0,38.0,0.0
-18.599999999999998,-16.4,-0.589581085940309,-3.894423558897242,-0.0826127819548873,-0.09689922480620156,-0.19047619047619047,-15.0,-5.0,-39.0,-6.0,2.0,-10.0,-106.0,0.0
3.8000000000000007,-3.5,0.05871075964533912,-0.10365956018129907,-0.05262716132281342,0.034850640113798015,-0.5142857142857143,1.0,2.0,-12.0,16.0,7.0,-9.0,-34.0,1.0
4.800000000000001,0.5,0.7480228393091468,2.398037344963882,0.09865067466266864,0.07132041187159299,0.050000000000000044,5.0,3.0,25.0,-1.0,-9.0,13.0,161.0,1.0
1.1999999999999993,2.900000000000002,-0.4048812323757218,0.9701159478795223,0.022000941936351937,0.04457478005865101,-0.5,4.0,-7.0,34.0,9.0,3.0,-17.0,-96.0,1.0
4.636363636363637,4.27272727272727,-0.413826205315567,1.0284677987194817,0.028197612536638883,0.01955513388150959,-0.4642857142857143,11.0,4.0,17.0,7.0,-1.0,12.0,-48.0,0.0
5.0,4.09090909090909,1.5307612405401398,1.0712819143549002,0.00791816666820122,0.07452574525745259,-0.08333333333333337,7.0,5.0,26.0,0.0,-8.0,8.0,139.0,1.0
-6.363636363636363,-0.5454545454545467,-0.43279954466442083,-1.6785388127853889,-0.06341614426128006,-0.15099159663865547,-0.11904761904761907,-8.0,-3.0,-39.0,3.0,2.0,1.0,-114.0,1.0
-7.0,-4.272727272727272,-0.3864208127386277,-0.1933515100671137,0.014093959731543593,0.07935182091546944,0.0,-2.0,-7.0,-15.0,25.0,0.0,-3.0,63.0,0.0
6.727272727272727,-1.0,-1.5477582846003903,1.7880971930784906,0.15403095824590207,0.05900478292862399,0.1374269005847953,10.0,-2.0,35.0,4.0,3.0,-12.0,-221.0,1.0
6.272727272727273,-9.727272727272728,1.1043474069789863,-0.981752354417889,-0.0402173755314672,-0.025873710365688973,0.2916666666666667,4.0,2.0,32.0,20.0,8.0,28.0,343.0,1.0
0.9090909090909065,-4.000000000000002,0.5129720312647139,0.7707619592961752,0.05366033560759731,0.0880146946272769,0.17142857142857137,6.0,0.0,40.0,8.0,-11.0,-16.0,-50.0,0.0
7.6363636363636385,-8.636363636363638,0.38829212997948837,1.420308997758566,0.035922990714057024,0.11200989722116483,0.08333333333333331,5.0,1.0,39.0,3.0,7.0,9.0,18.0,1.0
-10.181818181818183,7.181818181818182,0.7717163020649891,-0.916245138147155,0.028032486245742727,-0.06289855072463768,0.18095238095238098,-7.0,-4.0,-24.0,-23.0,-9.0,12.0,77.0,1.0
12.999999999999998,-2.5454545454545467,1.0041799598251209,1.7722877333465377,0.07861806503639457,0.060226104830421345,0.4204545454545454,9.0,3.0,70.0,10.0,17.0,-21.0,-167.0,1.0
-0.5454545454545467,-8.181818181818182,0.20907738095238093,0.43389209469688694,0.017903767251025715,-0.058878814683768266,0.050000000000000044,-6.0,4.0,-46.0,11.0,8.0,25.0,183.0,0.0
-3.2727272727272734,-8.272727272727273,0.06544647208534116,-0.8972128167987528,-0.02260376975523337,-0.020389344262295106,-0.4153846153846154,0.0,-7.0,17.0,10.0,13.0,-1.0,-145.0,1.0
8.0,3.6363636363636367,1.3035755746459254,1.258383824630676,0.08070665123561849,0.1804023361453601,0.016666666666666663,15.0,6.0,54.0,-3.0,-8.0,27.0,248.0,1.0
-2.363636363636365,-10.545454545454545,0.28894041738078435,-1.315098598241863,-0.151936326918508,-0.09024759024759027,0.37777777777777777,-9.0,4.0,-29.0,6.0,3.0,-5.0,18.0,0.0
18.818181818181817,13.181818181818183,0.6754098360655734,2.680846107254345,0.03944773175542404,0.04786324786324786,0.3035714285714286,20.0,3.0,47.0,3.0,-2.0,-5.0,-27.0,0.0
2.5,-0.08333333333333215,0.4199282452707114,-0.3820469483568072,-0.05130516431924892,-0.039243277048155056,-0.12631578947368416,-1.0,4.0,-14.0,2.0,15.0,18.0,120.0,1.0
-4.333333333333332,0.9166666666666679,-0.7073277130190423,-1.9518469168702346,-0.03736397956917614,-0.09489633173843698,0.0714285714285714,-10.0,1.0,-34.0,-10.0,4.0,1.0,51.0,0.0
3.5,-2.166666666666668,0.3484262125902995,-0.47310704960835537,-0.02881479262081066,-0.023529411764705854,-0.4166666666666667,2.0,4.0,-20.0,18.0,-1.0,-18.0,-204.0,1.0
7.333333333333334,-11.666666666666666,1.1617591918657229,0.3628195944272239,-0.010892487731724798,0.09117679136219875,-0.03076923076923077,7.0,0.0,87.0,-9.0,11.0,0.0,-114.0,1.0
-3.833333333333332,-0.08333333333333215,-0.724699359675153,1.6592788071159665,0.06690288132673905,0.028911564625850372,-0.12857142857142856,-2.0,2.0,1.0,-6.0,1.0,-9.0,-141.0,0.0
-6.5,6.666666666666668,0.5645184123444986,-1.3835806073008516,-0.028178197758985613,-0.006291324383891017,-0.27777777777777773,-2.0,-5.0,-19.0,-9.0,-10.0,13.0,178.0,0.0
7.5,-3.083333333333332,-0.6707072953736652,0.39734474938205544,-0.026259460285910863,0.09007488204995023,0.26249999999999996,8.0,4.0,52.0,3.0,9.0,-17.0,-87.0,1.0
15.583333333333336,12.75,0.6043990672464865,2.883980172572058,0.048790159720947246,0.04344148089171973,0.2777777777777778,17.0,6.0,49.0,-14.0,-6.0,-13.0,-150.0,0.0
9.916666666666668,-7.083333333333332,0.9881879664179101,0.9260094743965714,0.055718475073313845,0.11797101449275366,0.038461538461538436,7.0,13.0,41.0,-2.0,2.0,8.0,59.0,1.0
6.916666666666668,7.750000000000002,0.40825532236146733,1.6825889748367313,0.07141512807483119,0.1399491094147583,0.2571428571428571,14.0,-1.0,89.0,-12.0,-17.0,-19.0,-42.0,0.0
-0.6666666666666679,8.333333333333332,0.35245497494374645,-0.3210902857694693,-0.00267984323319459,-0.018956590999601786,-0.22857142857142854,1.0,1.0,23.0,-16.0,2.0,-14.0,-178.0,1.0
-6.5,2.833333333333332,-0.28191558022460317,-1.660559193150129,-0.05423018807660651,-0.026647103369935643,-0.1333333333333333,-11.0,-4.0,-43.0,-7.0,-6.0,2.0,121.0,1.0
-12.333333333333334,-0.1666666666666643,0.03876917697451798,-1.6092821791068364,-0.02118336649594499,-0.08184789067142006,0.010101010101010166,-10.0,-3.0,-85.0,-14.0,-16.0,3.0,-50.0,0.0
-3.583333333333334,10.583333333333334,-0.5329446064139947,-0.059459459459459296,0.018918918918918948,0.010909627008698186,-0.28823529411764703,-5.0,-4.0,-40.0,-10.0,-5.0,-6.0,-65.0,0.0
-2.083333333333332,-2.25,-0.6473898467432946,0.2294155819368635,0.011470779096843131,0.06569343065693434,-0.21153846153846156,-2.0,-2.0,-6.0,-8.0,3.0,-2.0,-23.0,1.0
4.53846153846154,1.76923076923077,1.3321724769324668,2.6039329091960663,0.07900520532099475,0.14484126984126983,0.0,13.0,-2.0,52.0,1.0,-19.0,-13.0,-26.0,1.0
-9.23076923076923,-4.153846153846153,-0.4416355954981839,-1.0728713710531892,-0.13189235007416827,-0.03573429371748699,0.16666666666666663,-11.0,-6.0,-52.0,1.0,0.0,-28.0,-184.0,1.0
3.9230769230769234,-5.846153846153847,-0.3153153153153152,-0.013444638960994126,-0.04780220254059686,-0.05063769485120456,-0.23809523809523808,1.0,3.0,-16.0,32.0,8.0,-21.0,-234.0,1.0
